metric_name,timestamp,datetime,value
huawei.graph_variance,1530162150,2018-06-28 05:02:30,-1
huawei.graph_variance,1530162165,2018-06-28 05:02:45,-1
huawei.graph_variance,1530162300,2018-06-28 05:05:00,1
huawei.graph_variance,1530162900,2018-06-28 05:15:00,1
huawei.graph_variance,1530163215,2018-06-28 05:20:15,-1
huawei.graph_variance,1530163230,2018-06-28 05:20:30,-1
huawei.graph_variance,1530163245,2018-06-28 05:20:45,-1
huawei.graph_variance,1530163500,2018-06-28 05:25:00,-1
huawei.graph_variance,1530163800,2018-06-28 05:30:00,1
huawei.graph_variance,1530164415,2018-06-28 05:40:15,0
huawei.graph_variance,1530164430,2018-06-28 05:40:30,0
huawei.graph_variance,1530164445,2018-06-28 05:40:45,-1
huawei.graph_variance,1530164700,2018-06-28 05:45:00,0
huawei.graph_variance,1530165615,2018-06-28 06:00:15,0
huawei.graph_variance,1530165630,2018-06-28 06:00:30,0
huawei.graph_variance,1530165645,2018-06-28 06:00:45,-1
huawei.graph_variance,1530165900,2018-06-28 06:05:00,0
huawei.graph_variance,1530166455,2018-06-28 06:14:15,-1
huawei.graph_variance,1530166470,2018-06-28 06:14:30,-1
huawei.graph_variance,1530166500,2018-06-28 06:15:00,1
huawei.graph_variance,1530166815,2018-06-28 06:20:15,0
huawei.graph_variance,1530166830,2018-06-28 06:20:30,0
huawei.graph_variance,1530166845,2018-06-28 06:20:45,-1
huawei.graph_variance,1530166875,2018-06-28 06:21:15,-1
huawei.graph_variance,1530166890,2018-06-28 06:21:30,-1
huawei.graph_variance,1530166935,2018-06-28 06:22:15,-1
huawei.graph_variance,1530166950,2018-06-28 06:22:30,-1
huawei.graph_variance,1530167070,2018-06-28 06:24:30,-1
huawei.graph_variance,1530167085,2018-06-28 06:24:45,-1
huawei.graph_variance,1530167100,2018-06-28 06:25:00,1
huawei.graph_variance,1530167115,2018-06-28 06:25:15,-1
huawei.graph_variance,1530167130,2018-06-28 06:25:30,-1
huawei.graph_variance,1530167190,2018-06-28 06:26:30,-1
huawei.graph_variance,1530167205,2018-06-28 06:26:45,-1
huawei.graph_variance,1530167310,2018-06-28 06:28:30,-1
huawei.graph_variance,1530167325,2018-06-28 06:28:45,-1
huawei.graph_variance,1530167400,2018-06-28 06:30:00,1
huawei.graph_variance,1530168015,2018-06-28 06:40:15,1
huawei.graph_variance,1530168030,2018-06-28 06:40:30,1
huawei.graph_variance,1530168300,2018-06-28 06:45:00,1
huawei.graph_variance,1530169215,2018-06-28 07:00:15,-1
huawei.graph_variance,1530169230,2018-06-28 07:00:30,-1
huawei.graph_variance,1530169335,2018-06-28 07:02:15,-1
huawei.graph_variance,1530169350,2018-06-28 07:02:30,-1
huawei.graph_variance,1530169500,2018-06-28 07:05:00,0
huawei.graph_variance,1530169530,2018-06-28 07:05:30,-1
huawei.graph_variance,1530169545,2018-06-28 07:05:45,-1
huawei.graph_variance,1530170100,2018-06-28 07:15:00,1
huawei.graph_variance,1530170175,2018-06-28 07:16:15,-1
huawei.graph_variance,1530170190,2018-06-28 07:16:30,-1
huawei.graph_variance,1530170310,2018-06-28 07:18:30,-1
huawei.graph_variance,1530170325,2018-06-28 07:18:45,-1
huawei.graph_variance,1530170415,2018-06-28 07:20:15,0
huawei.graph_variance,1530170430,2018-06-28 07:20:30,0
huawei.graph_variance,1530170445,2018-06-28 07:20:45,-1
huawei.graph_variance,1530170700,2018-06-28 07:25:00,1
huawei.graph_variance,1530170955,2018-06-28 07:29:15,-1
huawei.graph_variance,1530170970,2018-06-28 07:29:30,-1
huawei.graph_variance,1530171000,2018-06-28 07:30:00,1
huawei.graph_variance,1530171615,2018-06-28 07:40:15,0
huawei.graph_variance,1530171630,2018-06-28 07:40:30,0
huawei.graph_variance,1530171795,2018-06-28 07:43:15,-1
huawei.graph_variance,1530171810,2018-06-28 07:43:30,-1
huawei.graph_variance,1530171900,2018-06-28 07:45:00,1
huawei.graph_variance,1530171975,2018-06-28 07:46:15,-1
huawei.graph_variance,1530171990,2018-06-28 07:46:30,-1
huawei.graph_variance,1530172290,2018-06-28 07:51:30,-1
huawei.graph_variance,1530172305,2018-06-28 07:51:45,-1
huawei.graph_variance,1530172500,2018-06-28 07:55:00,-1
huawei.graph_variance,1530172815,2018-06-28 08:00:15,-1
huawei.graph_variance,1530172830,2018-06-28 08:00:30,-1
huawei.graph_variance,1530173100,2018-06-28 08:05:00,0
huawei.graph_variance,1530173235,2018-06-28 08:07:15,-1
huawei.graph_variance,1530173250,2018-06-28 08:07:30,-1
huawei.graph_variance,1530173415,2018-06-28 08:10:15,-1
huawei.graph_variance,1530173430,2018-06-28 08:10:30,-1
huawei.graph_variance,1530173700,2018-06-28 08:15:00,1
huawei.graph_variance,1530173895,2018-06-28 08:18:15,-1
huawei.graph_variance,1530173910,2018-06-28 08:18:30,-1
huawei.graph_variance,1530174015,2018-06-28 08:20:15,0
huawei.graph_variance,1530174030,2018-06-28 08:20:30,0
huawei.graph_variance,1530174300,2018-06-28 08:25:00,0
huawei.graph_variance,1530174600,2018-06-28 08:30:00,3
