timestamp,value
1530137700,308.0
1530138135,108.0
1530138150,274.0
1530138165,166.0
1530138195,34.0
1530138210,34.0
1530138300,308.0
1530138600,308.0
1530140670,363.0
1530140685,363.0
1530140700,561.0
1530140715,170.0
1530140730,198.0
1530140745,28.0
1530141300,561.0
1530142200,916.0
1530143100,355.0
1530143415,36.0
1530143430,206.0
1530143445,170.0
1530143475,149.0
1530143490,149.0
1530143700,355.0
1530145800,334.0
1530146100,334.0
1530146250,98.0
1530146265,98.0
1530146295,146.0
1530146310,236.0
1530146325,90.0
1530146700,334.0
1530149400,2.0
1530150015,2.0
1530150030,2.0
1530150300,2.0
1530151215,4.0
1530151230,6.0
1530151245,2.0
1530151500,6.0
1530152100,14.0
1530152415,6.0
1530152430,8.0
1530152445,2.0
1530152700,8.0
1530153000,18.0
1530153615,4.0
1530153630,4.0
1530153900,4.0
1530154815,6.0
1530154830,12.0
1530154845,6.0
1530155100,12.0
1530155700,22.0
1530156015,10.0
1530156030,10.0
1530156300,10.0
1530156600,32.0
1530157215,8.0
1530157230,10.0
1530157245,2.0
1530157500,10.0
1530158415,12.0
1530158430,12.0
1530158700,12.0
1530159300,16.0
1530159615,2.0
1530159630,4.0
1530159645,2.0
1530159900,4.0
1530160200,23.0
1530160815,4.0
1530160830,7.0
1530160845,3.0
1530161100,7.0
1530162015,2.0
1530162030,7.0
1530162045,5.0
1530162300,7.0
1530162900,15.0
1530163215,4.0
1530163230,8.0
1530163245,4.0
1530163500,8.0
1530163800,25.0
1530164415,8.0
1530164430,10.0
1530164445,2.0
1530164700,10.0
1530165615,6.0
1530165630,14.0
1530165645,8.0
1530165900,14.0
1530166500,16.0
1530166815,2.0
1530166830,2.0
1530167100,2.0
1530167400,18.0
1530168015,2.0
1530168030,2.0
1530168300,2.0
1530169215,4.0
1530169230,4.0
1530169500,4.0
1530170100,19.0
1530170415,11.0
1530170430,15.0
1530170445,4.0
1530170700,15.0
1530171000,21.0
1530171615,2.0
1530171630,2.0
1530171900,2.0
1530172815,8.0
1530172830,8.0
1530173100,8.0
1530173700,10.0
1530174015,2.0
1530174030,2.0
1530174300,2.0
1530174600,15.0
1530175215,5.0
1530175230,5.0
1530175500,5.0
1530176415,2.0
1530176430,4.0
1530176445,2.0
1530176700,4.0
1530177195,34.0
1530177210,93.0
1530177225,59.0
1530177300,97.0
1530178200,379.0
1530178275,38.0
1530178290,180.0
1530178305,142.0
1530178335,102.0
1530178350,102.0
1530178500,282.0
1530179100,282.0
1530181800,242.0
1530182700,242.0
1530182970,78.0
1530182985,78.0
1530183015,116.0
1530183030,164.0
1530183045,48.0
1530183300,164.0
1530184500,345.0
1530184875,39.0
1530184890,192.0
1530184905,153.0
1530184935,153.0
1530184950,153.0
1530185100,345.0
1530185400,1570.0
1530185700,231.0
1530185715,85.0
1530185730,160.0
1530185745,75.0
1530185775,71.0
1530185790,71.0
1530186255,341.0
1530186270,515.0
1530186285,174.0
1530186300,1225.0
1530186315,26.0
1530186330,26.0
1530186795,8.0
1530186810,92.0
1530186825,84.0
1530186855,103.0
1530186870,103.0
1530186900,453.0
1530187095,4.0
1530187110,75.0
1530187125,71.0
1530187155,183.0
1530187170,183.0
1530187500,260.0
1530187650,19.0
1530187665,19.0
1530187695,99.0
1530187710,241.0
1530187725,142.0
1530188100,625.0
1530188550,39.0
1530188565,39.0
1530188595,256.0
1530188610,326.0
1530188625,70.0
1530188700,365.0
1530189000,1237.0
1530189300,204.0
1530189555,101.0
1530189570,204.0
1530189585,103.0
1530189615,79.0
1530189630,79.0
1530189900,612.0
1530190500,329.0
1530190530,2.0
1530190545,2.0
1530190575,142.0
1530190590,327.0
1530190605,185.0
1530191100,254.0
1530191130,52.0
1530191145,52.0
1530191175,88.0
1530191190,202.0
1530191205,114.0
1530191535,81.0
1530191550,293.0
1530191565,212.0
1530191595,15.0
1530191610,15.0
1530191700,1102.0
1530191955,82.0
1530191970,297.0
1530191985,215.0
1530192015,4.0
1530192030,4.0
1530192300,243.0
1530192330,16.0
1530192345,16.0
1530192375,114.0
1530192390,223.0
1530192405,109.0
1530192600,2183.0
1530192630,173.0
1530192645,173.0
1530192675,65.0
1530192690,83.0
1530192705,18.0
1530192900,473.0
1530192990,150.0
1530193005,150.0
1530193035,53.0
1530193050,67.0
1530193065,14.0
1530193395,89.0
1530193410,224.0
1530193425,135.0
1530193455,6.0
1530193470,6.0
1530193500,1081.0
1530193770,125.0
1530193785,125.0
1530193815,91.0
1530193830,97.0
1530193845,6.0
1530194100,253.0
1530194130,44.0
1530194145,44.0
1530194175,73.0
1530194190,112.0
1530194205,39.0
1530194595,23.0
1530194610,106.0
1530194625,83.0
1530194655,406.0
1530194670,406.0
1530194700,512.0
1530195090,18.0
1530195105,18.0
1530195135,59.0
1530195150,194.0
1530195165,135.0
1530195300,1195.0
1530195630,20.0
1530195645,20.0
1530195675,185.0
1530195690,236.0
1530195705,51.0
1530195900,471.0
1530196155,30.0
1530196170,215.0
1530196185,185.0
1530196200,2481.0
1530196215,202.0
1530196230,202.0
1530196500,490.0
1530196695,62.0
1530196710,216.0
1530196725,154.0
1530196755,72.0
1530196770,72.0
1530196995,34.0
1530197010,177.0
