time,anomaly,call_count_in,call_count_in_ratio,call_count_out,call_count_out_ratio,datetime,degree,degree_in,degree_out,graph_gain_variance,graph_loss_variance,graph_variance,response_time_avg,response_time_avg_ratio,status_code.2XX,status_code.4XX,status_code.5XX
1530137700,1.0,450.0,0.12472283813747229,308.0,0.12145110410094637,2018-06-27 22:15:00,3.0,2.0,1.0,0.0,0.0,0.0,152401.703125,0.08565613219954508,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138135,1.0,163.0,0.045177383592017735,108.0,0.04258675078864353,2018-06-27 22:22:15,3.0,2.0,1.0,0.0,0.0,0.0,154017.8125,0.08656445327099915,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138150,1.0,402.0,0.11141906873614191,274.0,0.10804416403785488,2018-06-27 22:22:30,3.0,2.0,1.0,0.0,0.0,0.0,151387.28125,0.0850859846719952,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138165,1.0,239.0,0.06624168514412417,166.0,0.06545741324921135,2018-06-27 22:22:45,3.0,2.0,1.0,0.0,0.0,0.0,149441.390625,0.08399231274311822,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138195,1.0,48.0,0.013303769401330377,34.0,0.013406940063091483,2018-06-27 22:23:15,3.0,2.0,1.0,0.0,0.0,0.0,161604.0,0.09082820798020713,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138210,1.0,48.0,0.013303769401330377,34.0,0.013406940063091483,2018-06-27 22:23:30,3.0,2.0,1.0,0.0,0.0,0.0,161604.0,0.09082820798020713,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138300,1.0,450.0,0.12472283813747229,308.0,0.12145110410094637,2018-06-27 22:25:00,3.0,2.0,1.0,0.0,0.0,0.0,152401.703125,0.08565613219954508,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530138600,1.0,450.0,0.12472283813747229,308.0,0.12145110410094637,2018-06-27 22:30:00,3.0,2.0,1.0,0.0,0.0,0.0,152401.703125,0.08565613219954508,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530140670,1.0,515.0,0.14273835920177383,363.0,0.14313880126182965,2018-06-27 23:04:30,3.0,2.0,1.0,0.0,0.0,0.0,151700.78125,0.08526218478586488,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530140685,1.0,515.0,0.14273835920177383,363.0,0.14313880126182965,2018-06-27 23:04:45,3.0,2.0,1.0,0.0,0.0,0.0,151700.78125,0.08526218478586488,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530140700,1.0,805.0,0.22311529933481153,561.0,0.22121451104100948,2018-06-27 23:05:00,3.0,2.0,1.0,0.0,0.0,0.0,157114.53125,0.0883049387458711,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530140715,1.0,248.0,0.06873614190687362,170.0,0.06703470031545741,2018-06-27 23:05:15,3.0,2.0,1.0,0.0,0.0,0.0,161582.59375,0.09081617677227245,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530140730,1.0,290.0,0.0803769401330377,198.0,0.07807570977917981,2018-06-27 23:05:30,3.0,2.0,1.0,0.0,0.0,0.0,161351.375,0.09068622216277068,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530140745,1.0,42.0,0.01164079822616408,28.0,0.011041009463722398,2018-06-27 23:05:45,3.0,2.0,1.0,0.0,0.0,0.0,160063.21875,0.0899622244660181,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530141300,1.0,805.0,0.22311529933481153,561.0,0.22121451104100948,2018-06-27 23:15:00,3.0,2.0,1.0,0.0,0.0,0.0,157114.53125,0.0883049387458711,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530142200,1.0,1312.0,0.36363636363636365,916.0,0.361198738170347,2018-06-27 23:30:00,3.0,2.0,1.0,0.0,0.0,0.0,162826.703125,0.09151541828277111,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143100,1.0,507.0,0.14052106430155212,355.0,0.13998422712933753,2018-06-27 23:45:00,3.0,2.0,1.0,0.0,0.0,0.0,169072.015625,0.09502554515247352,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143415,1.0,53.0,0.014689578713968959,36.0,0.014195583596214511,2018-06-27 23:50:15,3.0,2.0,1.0,0.0,0.0,0.0,153232.46875,0.08612305723215756,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143430,1.0,296.0,0.082039911308204,206.0,0.08123028391167192,2018-06-27 23:50:30,3.0,2.0,1.0,0.0,0.0,0.0,169754.90625,0.09540935824939707,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143445,1.0,243.0,0.06735033259423504,170.0,0.06703470031545741,2018-06-27 23:50:45,3.0,2.0,1.0,0.0,0.0,0.0,173767.5,0.09766460378580136,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143475,1.0,211.0,0.058481152993348114,149.0,0.05875394321766562,2018-06-27 23:51:15,3.0,2.0,1.0,0.0,0.0,0.0,168128.96875,0.09449551336057738,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143490,1.0,211.0,0.058481152993348114,149.0,0.05875394321766562,2018-06-27 23:51:30,3.0,2.0,1.0,0.0,0.0,0.0,168128.96875,0.09449551336057738,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530143700,1.0,507.0,0.14052106430155212,355.0,0.13998422712933753,2018-06-27 23:55:00,3.0,2.0,1.0,0.0,0.0,0.0,169072.015625,0.09502554515247352,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530145800,1.0,485.0,0.13442350332594236,334.0,0.13170347003154576,2018-06-28 00:30:00,3.0,2.0,1.0,0.0,0.0,0.0,165971.171875,0.09328274125505065,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530146100,1.0,485.0,0.13442350332594236,334.0,0.13170347003154576,2018-06-28 00:35:00,3.0,2.0,1.0,0.0,0.0,0.0,165971.171875,0.09328274125505065,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530146250,1.0,144.0,0.03991130820399113,98.0,0.038643533123028394,2018-06-28 00:37:30,3.0,2.0,1.0,0.0,0.0,0.0,172195.625,0.09678114428344443,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530146265,1.0,144.0,0.03991130820399113,98.0,0.038643533123028394,2018-06-28 00:37:45,3.0,2.0,1.0,0.0,0.0,0.0,172195.625,0.09678114428344443,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530146295,1.0,209.0,0.057926829268292686,146.0,0.057570977917981075,2018-06-28 00:38:15,3.0,2.0,1.0,0.0,0.0,0.0,153339.3125,0.08618310788898774,0.2805429995059967,0.7194570302963257,0.0008059641113504767
1530146310,1.0,341.0,0.09451219512195122,236.0,0.09305993690851735,2018-06-28 00:38:30,3.0,2.0,1.0,0.0,0.0,0.0,163244.28125,0.09175011465653343,0.2805429995059967,0.7194570302963257,0.0008059641113504767
