timestamp,value
1530137700,1.0
1530138135,1.0
1530138150,1.0
1530138165,1.0
1530138195,1.0
1530138210,1.0
1530138300,1.0
1530138600,1.0
1530140670,2.0
1530140685,2.0
1530140700,2.0
1530140715,1.0
1530140730,1.0
1530140745,1.0
1530141300,2.0
1530142200,2.0
1530143100,2.0
1530143415,1.0
1530143430,2.0
1530143445,2.0
1530143475,2.0
1530143490,2.0
1530143700,2.0
1530145800,1.0
1530146100,1.0
1530146250,1.0
1530146265,1.0
1530146295,1.0
1530146310,1.0
1530146325,1.0
1530146700,1.0
1530149400,1.0
1530150015,1.0
1530150030,1.0
1530150075,0.0
1530150090,0.0
1530150300,1.0
1530150735,0.0
1530150750,0.0
1530150900,0.0
1530151215,1.0
1530151230,1.0
1530151245,1.0
1530151500,1.0
1530152100,1.0
1530152415,1.0
1530152430,1.0
1530152445,1.0
1530152700,1.0
1530153000,1.0
1530153150,0.0
1530153165,0.0
1530153300,0.0
1530153615,1.0
1530153630,1.0
1530153900,1.0
1530154815,1.0
1530154830,1.0
1530154845,1.0
1530155100,1.0
1530155700,2.0
1530156015,2.0
1530156030,2.0
1530156300,2.0
1530156600,2.0
1530157215,1.0
1530157230,1.0
1530157245,1.0
1530157500,1.0
1530158070,0.0
1530158085,0.0
1530158100,0.0
1530158415,1.0
1530158430,1.0
1530158700,1.0
1530159300,1.0
1530159615,1.0
1530159630,1.0
1530159645,1.0
1530159900,1.0
1530160200,2.0
1530160815,1.0
1530160830,2.0
1530160845,2.0
1530161100,2.0
1530161175,0.0
1530161190,0.0
1530161310,0.0
1530161325,0.0
1530161700,0.0
1530161775,0.0
1530161790,0.0
1530162015,1.0
1530162030,2.0
1530162045,2.0
1530162150,0.0
1530162165,0.0
1530162300,2.0
1530162900,2.0
1530163215,1.0
1530163230,1.0
1530163245,1.0
1530163500,1.0
1530163800,2.0
1530164415,1.0
1530164430,1.0
1530164445,1.0
1530164700,1.0
1530165615,1.0
1530165630,1.0
1530165645,1.0
1530165900,1.0
1530166455,0.0
1530166470,0.0
1530166500,1.0
1530166815,1.0
1530166830,1.0
1530166875,0.0
1530166890,0.0
1530166935,0.0
1530166950,0.0
1530167070,0.0
1530167085,0.0
1530167100,1.0
1530167115,0.0
1530167130,0.0
1530167190,0.0
1530167205,0.0
1530167310,0.0
1530167325,0.0
1530167400,1.0
1530168015,1.0
1530168030,1.0
1530168300,1.0
1530169215,1.0
1530169230,1.0
1530169335,0.0
1530169350,0.0
1530169500,1.0
1530169530,0.0
1530169545,0.0
1530170100,2.0
1530170175,0.0
1530170190,0.0
1530170310,0.0
1530170325,0.0
1530170415,2.0
1530170430,2.0
1530170445,1.0
1530170700,2.0
1530170955,0.0
1530170970,0.0
1530171000,2.0
1530171615,1.0
1530171630,1.0
1530171795,0.0
1530171810,0.0
1530171900,1.0
1530171975,0.0
1530171990,0.0
1530172290,0.0
1530172305,0.0
1530172500,0.0
1530172815,1.0
1530172830,1.0
1530173100,1.0
1530173235,0.0
1530173250,0.0
1530173415,0.0
1530173430,0.0
1530173700,1.0
1530173895,0.0
1530173910,0.0
1530174015,1.0
1530174030,1.0
1530174300,1.0
1530174600,2.0
1530174795,0.0
1530174810,0.0
1530174900,0.0
1530175215,2.0
1530175230,2.0
1530175500,2.0
1530176100,0.0
1530176370,0.0
1530176385,0.0
1530176415,1.0
1530176430,1.0
1530176445,1.0
1530176700,1.0
1530176790,0.0
1530176805,0.0
1530177015,0.0
1530177030,0.0
1530177135,0.0
1530177150,0.0
1530177195,1.0
1530177210,2.0
1530177225,2.0
1530177300,2.0
1530178200,2.0
1530178275,2.0
1530178290,2.0
1530178305,2.0
1530178335,2.0
1530178350,2.0
1530178500,2.0
1530179100,2.0
1530181800,2.0
1530182700,2.0
1530182970,2.0
1530182985,2.0
1530183015,2.0
1530183030,2.0
1530183045,2.0
1530183300,2.0
1530184500,2.0
1530184875,2.0
1530184890,2.0
1530184905,2.0
1530184935,2.0
1530184950,2.0
1530185100,2.0
1530185400,2.0
1530185700,2.0
1530185715,2.0
1530185730,2.0
1530185745,2.0
1530185775,2.0
1530185790,2.0
1530186255,2.0
1530186270,2.0
1530186285,2.0
1530186300,2.0
1530186315,1.0
1530186330,1.0
1530186795,1.0
1530186810,2.0
1530186825,2.0
1530186855,2.0
1530186870,2.0
1530186900,2.0
1530187095,1.0
1530187110,2.0
1530187125,2.0
1530187155,1.0
1530187170,1.0
1530187500,2.0
1530187650,1.0
1530187665,1.0
1530187695,2.0
1530187710,2.0
1530187725,1.0
1530188100,2.0
1530188550,1.0
1530188565,1.0
1530188595,2.0
1530188610,2.0
1530188625,1.0
1530188700,2.0
1530189000,2.0
1530189300,2.0
1530189555,2.0
1530189570,2.0
1530189585,2.0
1530189615,2.0
1530189630,2.0
1530189900,2.0
1530190500,2.0
1530190530,1.0
1530190545,1.0
1530190575,2.0
1530190590,2.0
1530190605,2.0
1530191100,2.0
1530191130,1.0
1530191145,1.0
1530191175,2.0
1530191190,2.0
1530191205,2.0
1530191535,2.0
1530191550,2.0
1530191565,2.0
1530191595,2.0
1530191610,2.0
1530191700,2.0
1530191955,2.0
1530191970,2.0
1530191985,2.0
1530192015,1.0
1530192030,1.0
1530192300,2.0
1530192330,1.0
1530192345,1.0
1530192375,2.0
1530192390,2.0
1530192405,2.0
1530192600,2.0
1530192630,2.0
1530192645,2.0
1530192675,2.0
1530192690,2.0
1530192705,1.0
1530192900,2.0
1530192990,1.0
1530193005,1.0
1530193035,2.0
1530193050,2.0
1530193065,1.0
1530193395,2.0
1530193410,2.0
1530193425,2.0
1530193455,1.0
1530193470,1.0
1530193500,2.0
1530193770,2.0
1530193785,2.0
1530193815,2.0
1530193830,2.0
1530193845,1.0
1530194100,2.0
1530194130,1.0
1530194145,1.0
1530194175,1.0
1530194190,1.0
1530194205,1.0
1530194595,1.0
1530194610,2.0
1530194625,2.0
1530194655,2.0
1530194670,2.0
1530194700,2.0
1530195090,1.0
1530195105,1.0
1530195135,2.0
1530195150,2.0
1530195165,2.0
1530195300,2.0
1530195630,1.0
1530195645,1.0
1530195675,2.0
1530195690,2.0
1530195705,2.0
1530195900,2.0
1530196155,1.0
1530196170,2.0
1530196185,2.0
1530196200,2.0
1530196215,2.0
1530196230,2.0
1530196500,2.0
1530196695,1.0
1530196710,2.0
1530196725,2.0
1530196755,1.0
1530196770,1.0
1530196995,2.0
1530197010,2.0
1530197025,2.0
1530197055,1.0
1530197070,1.0
1530197100,2.0
1530197250,1.0
1530197265,1.0
1530197295,1.0
1530197310,2.0
1530197325,2.0
1530197550,2.0
1530197565,2.0
1530197595,1.0
1530197610,1.0
1530197625,1.0
1530197700,2.0
1530197910,2.0
1530197925,2.0
1530197955,2.0
1530197970,2.0
1530197985,1.0
1530198300,2.0
1530198495,1.0
1530198510,1.0
1530198525,1.0
1530198555,2.0
1530198570,2.0
1530198900,2.0
1530198915,2.0
1530198930,2.0
1530198945,2.0
1530198975,1.0
1530198990,1.0
1530199230,2.0
1530199245,2.0
1530199275,2.0
1530199290,2.0
1530199305,1.0
1530199500,2.0
1530199575,1.0
1530199590,2.0
1530199605,2.0
1530199635,1.0
1530199650,1.0
1530199800,2.0
1530199950,2.0
1530199965,2.0
1530199995,1.0
1530200010,2.0
1530200025,2.0
1530200100,2.0
1530200370,2.0
1530200385,2.0
1530200415,2.0
1530200430,2.0
1530200445,2.0
1530200700,2.0
1530200850,2.0
1530200865,2.0
1530200895,1.0
1530200910,1.0
1530200925,1.0
1530201255,1.0
1530201270,2.0
1530201285,2.0
1530201300,2.0
1530201315,1.0
1530201330,1.0
1530201570,1.0
1530201585,1.0
1530201615,2.0
1530201630,2.0
1530201645,2.0
1530201900,2.0
1530201930,1.0
1530201945,1.0
1530201975,2.0
1530201990,2.0
1530202005,2.0
1530202275,1.0
1530202290,1.0
1530202305,1.0
1530202335,1.0
1530202350,1.0
1530202500,2.0
1530202635,1.0
1530202650,2.0
1530202665,2.0
1530202695,1.0
1530202710,1.0
1530203010,2.0
1530203025,2.0
1530203055,2.0
1530203070,2.0
1530203085,1.0
1530203370,1.0
1530203385,1.0
1530203400,2.0
1530203415,2.0
1530203430,2.0
1530203445,2.0
1530203715,2.0
1530203730,2.0
1530203745,2.0
1530203775,2.0
1530203790,2.0
1530204150,2.0
1530204165,2.0
