from,to,spans,traces
2018-06-27 00:00:00.0,2018-06-27 01:00:00.0,0,0
2018-06-27 01:00:00.0,2018-06-27 02:00:00.0,0,0
2018-06-27 02:00:00.0,2018-06-27 03:00:00.0,0,0
2018-06-27 03:00:00.0,2018-06-27 04:00:00.0,0,0
2018-06-27 04:00:00.0,2018-06-27 05:00:00.0,0,0
2018-06-27 05:00:00.0,2018-06-27 06:00:00.0,0,0
2018-06-27 06:00:00.0,2018-06-27 07:00:00.0,0,0
2018-06-27 07:00:00.0,2018-06-27 08:00:00.0,0,0
2018-06-27 08:00:00.0,2018-06-27 09:00:00.0,0,0
2018-06-27 09:00:00.0,2018-06-27 10:00:00.0,0,0
2018-06-27 10:00:00.0,2018-06-27 11:00:00.0,0,0
2018-06-27 11:00:00.0,2018-06-27 12:00:00.0,0,0
2018-06-27 12:00:00.0,2018-06-27 13:00:00.0,0,0
2018-06-27 13:00:00.0,2018-06-27 14:00:00.0,0,0
2018-06-27 14:00:00.0,2018-06-27 15:00:00.0,0,0
2018-06-27 15:00:00.0,2018-06-27 16:00:00.0,0,0
2018-06-27 16:00:00.0,2018-06-27 17:00:00.0,0,0
2018-06-27 17:00:00.0,2018-06-27 18:00:00.0,0,0
2018-06-27 18:00:00.0,2018-06-27 19:00:00.0,0,0
2018-06-27 19:00:00.0,2018-06-27 20:00:00.0,0,0
2018-06-27 20:00:00.0,2018-06-27 21:00:00.0,0,0
2018-06-27 21:00:00.0,2018-06-27 22:00:00.0,0,0
2018-06-27 22:00:00.0,2018-06-27 23:00:00.0,0,0
2018-06-27 23:00:00.0,2018-06-28 00:00:00.0,0,0
2018-06-28 00:00:00.0,2018-06-28 01:00:00.0,0,0
2018-06-28 01:00:00.0,2018-06-28 02:00:00.0,0,0
2018-06-28 02:00:00.0,2018-06-28 03:00:00.0,0,0
2018-06-28 03:00:00.0,2018-06-28 04:00:00.0,0,0
2018-06-28 04:00:00.0,2018-06-28 05:00:00.0,0,0
2018-06-28 05:00:00.0,2018-06-28 06:00:00.0,0,0
2018-06-28 06:00:00.0,2018-06-28 07:00:00.0,0,0
2018-06-28 07:00:00.0,2018-06-28 08:00:00.0,0,0
2018-06-28 08:00:00.0,2018-06-28 09:00:00.0,0,0
2018-06-28 09:00:00.0,2018-06-28 10:00:00.0,0,0
2018-06-28 10:00:00.0,2018-06-28 11:00:00.0,0,0
2018-06-28 11:00:00.0,2018-06-28 12:00:00.0,0,0
2018-06-28 12:00:00.0,2018-06-28 13:00:00.0,0,0
2018-06-28 13:00:00.0,2018-06-28 14:00:00.0,0,0
2018-06-28 14:00:00.0,2018-06-28 15:00:00.0,0,0
2018-06-28 15:00:00.0,2018-06-28 16:00:00.0,0,0
2018-06-28 16:00:00.0,2018-06-28 17:00:00.0,0,0
2018-06-28 17:00:00.0,2018-06-28 18:00:00.0,0,0
2018-06-28 18:00:00.0,2018-06-28 19:00:00.0,0,0
2018-06-28 19:00:00.0,2018-06-28 20:00:00.0,0,0
2018-06-28 20:00:00.0,2018-06-28 21:00:00.0,0,0
2018-06-28 21:00:00.0,2018-06-28 22:00:00.0,551,207
2018-06-28 22:00:00.0,2018-06-28 23:00:00.0,13859,4653
2018-06-28 23:00:00.0,2018-06-29 00:00:00.0,13688,4761
2018-06-29 00:00:00.0,2018-06-29 01:00:00.0,16341,5562
2018-06-29 01:00:00.0,2018-06-29 02:00:00.0,14292,4965
2018-06-29 02:00:00.0,2018-06-29 03:00:00.0,16694,5071
2018-06-29 03:00:00.0,2018-06-29 04:00:00.0,16936,4638
2018-06-29 04:00:00.0,2018-06-29 05:00:00.0,16707,5118
2018-06-29 05:00:00.0,2018-06-29 06:00:00.0,16146,5169
2018-06-29 06:00:00.0,2018-06-29 07:00:00.0,17591,5372
2018-06-29 07:00:00.0,2018-06-29 08:00:00.0,18119,5118
2018-06-29 08:00:00.0,2018-06-29 09:00:00.0,16490,5071
2018-06-29 09:00:00.0,2018-06-29 10:00:00.0,18467,5767
2018-06-29 10:00:00.0,2018-06-29 11:00:00.0,17327,5335
2018-06-29 11:00:00.0,2018-06-29 12:00:00.0,19094,6023
2018-06-29 12:00:00.0,2018-06-29 13:00:00.0,7189,1501
2018-06-29 13:00:00.0,2018-06-29 14:00:00.0,202,0
2018-06-29 14:00:00.0,2018-06-29 15:00:00.0,0,0
2018-06-29 15:00:00.0,2018-06-29 16:00:00.0,0,0
2018-06-29 16:00:00.0,2018-06-29 17:00:00.0,0,0
2018-06-29 17:00:00.0,2018-06-29 18:00:00.0,0,0
2018-06-29 18:00:00.0,2018-06-29 19:00:00.0,0,0
2018-06-29 19:00:00.0,2018-06-29 20:00:00.0,0,0
2018-06-29 20:00:00.0,2018-06-29 21:00:00.0,0,0
2018-06-29 21:00:00.0,2018-06-29 22:00:00.0,0,0
2018-06-29 22:00:00.0,2018-06-29 23:00:00.0,0,0
2018-06-29 23:00:00.0,2018-06-30 00:00:00.0,0,0
