timestamp,value
1530138165,0.0
1530138195,-1.0
1530138210,-1.0
1530140670,0.0
1530140685,0.0
1530140700,0.0
1530140715,0.0
1530140730,0.0
1530140745,0.0
1530141300,0.0
1530142200,3.0
1530143100,3.0
1530143415,0.0
1530143430,3.0
1530143445,3.0
1530143475,1.0
1530143490,1.0
1530143700,3.0
1530145800,0.0
1530146100,0.0
1530146250,-1.0
1530146265,-1.0
1530146295,0.0
1530146310,0.0
1530146325,0.0
1530146700,0.0
1530149400,1.0
1530150015,-1.0
1530150030,0.0
1530150045,-1.0
1530150075,-1.0
1530150090,-1.0
1530150300,1.0
1530150735,-1.0
1530150750,-1.0
1530150900,-1.0
1530151215,-1.0
1530151230,-1.0
1530151245,-1.0
1530151500,-1.0
1530152100,0.0
1530152415,0.0
1530152430,0.0
1530152445,-1.0
1530152700,0.0
1530153000,1.0
1530153150,-1.0
1530153165,-1.0
1530153300,-1.0
1530153615,0.0
1530153630,0.0
1530153900,1.0
1530154815,0.0
1530154830,0.0
1530154845,-1.0
1530155100,0.0
1530155700,0.0
1530156015,0.0
1530156030,0.0
1530156300,0.0
1530156600,1.0
1530157215,-1.0
1530157230,-1.0
1530157245,-1.0
1530157500,0.0
1530158070,-1.0
1530158085,-1.0
1530158100,-1.0
1530158415,0.0
1530158430,0.0
1530158700,0.0
1530159300,0.0
1530159615,0.0
1530159630,0.0
1530159645,-1.0
1530159900,0.0
1530160200,1.0
1530160815,-1.0
1530160830,0.0
1530160845,0.0
1530161100,1.0
1530161175,-1.0
1530161190,-1.0
1530161310,-1.0
1530161325,-1.0
1530161700,-1.0
1530161775,-1.0
1530161790,-1.0
1530162015,0.0
1530162030,0.0
1530162045,0.0
1530162150,-1.0
1530162165,-1.0
1530162300,1.0
1530162900,1.0
1530163215,-1.0
1530163230,-1.0
1530163245,-1.0
1530163500,-1.0
1530163800,1.0
1530164415,0.0
1530164430,0.0
1530164445,-1.0
1530164700,0.0
1530165615,0.0
1530165630,0.0
1530165645,-1.0
1530165900,0.0
1530166455,-1.0
1530166470,-1.0
1530166500,1.0
1530166815,0.0
1530166830,0.0
1530166845,-1.0
1530166875,-1.0
1530166890,-1.0
1530166935,-1.0
1530166950,-1.0
1530167070,-1.0
1530167085,-1.0
1530167100,1.0
1530167115,-1.0
1530167130,-1.0
1530167190,-1.0
1530167205,-1.0
1530167310,-1.0
1530167325,-1.0
1530167400,1.0
1530168015,1.0
1530168030,1.0
1530168300,1.0
1530169215,-1.0
1530169230,-1.0
1530169335,-1.0
1530169350,-1.0
1530169500,0.0
1530169530,-1.0
1530169545,-1.0
1530170100,1.0
1530170175,-1.0
1530170190,-1.0
1530170310,-1.0
1530170325,-1.0
1530170415,0.0
1530170430,0.0
1530170445,-1.0
1530170700,1.0
1530170955,-1.0
1530170970,-1.0
1530171000,1.0
1530171615,0.0
1530171630,0.0
1530171795,-1.0
1530171810,-1.0
1530171900,1.0
1530171975,-1.0
1530171990,-1.0
1530172290,-1.0
1530172305,-1.0
1530172500,-1.0
1530172815,-1.0
1530172830,-1.0
1530173100,0.0
1530173235,-1.0
1530173250,-1.0
1530173415,-1.0
1530173430,-1.0
1530173700,1.0
1530173895,-1.0
1530173910,-1.0
1530174015,0.0
1530174030,0.0
1530174300,0.0
1530174600,3.0
1530174795,-1.0
1530174810,-1.0
1530174900,-1.0
1530175215,0.0
1530175230,0.0
1530175290,-1.0
1530175305,-1.0
1530175500,3.0
1530175635,-1.0
1530175650,-1.0
1530176100,-1.0
1530176370,-1.0
1530176385,-1.0
1530176415,-1.0
1530176430,-1.0
1530176445,-1.0
1530176700,0.0
1530176790,-1.0
1530176805,-1.0
1530177015,-1.0
1530177030,-1.0
1530177135,-1.0
1530177150,-1.0
1530177195,1.0
1530177210,5.0
1530177225,5.0
1530177300,7.0
1530178200,10.0
1530178275,4.0
1530178290,6.0
1530178305,6.0
1530178335,6.0
1530178350,6.0
1530178500,7.0
1530179100,7.0
1530181800,9.0
1530182700,9.0
1530182970,1.0
1530182985,1.0
1530183015,9.0
1530183030,9.0
1530183045,2.0
1530183300,9.0
1530184500,10.0
1530184875,6.0
1530184890,10.0
1530184905,8.0
1530184935,3.0
1530184950,3.0
1530185100,10.0
1530185400,10.0
1530185700,6.0
1530185715,1.0
1530185730,3.0
1530185745,3.0
1530185775,4.0
1530185790,4.0
1530186255,7.0
1530186270,7.0
1530186285,3.0
1530186300,7.0
1530186315,-1.0
1530186330,-1.0
1530186795,1.0
1530186810,3.0
1530186825,3.0
1530186855,7.0
1530186870,7.0
1530186900,7.0
1530187095,-1.0
1530187110,3.0
1530187125,3.0
1530187155,5.0
1530187170,5.0
1530187500,5.0
1530187650,2.0
1530187665,2.0
1530187695,5.0
1530187710,5.0
1530187725,2.0
1530188100,6.0
1530188550,4.0
1530188565,4.0
1530188595,3.0
1530188610,5.0
1530188625,4.0
1530188700,6.0
1530189000,9.0
1530189300,5.0
1530189555,4.0
1530189570,5.0
1530189585,2.0
1530189615,4.0
1530189630,4.0
1530189900,8.0
