timestamp,value
1530137700,3.0
1530138135,3.0
1530138150,3.0
1530138165,3.0
1530138195,3.0
1530138210,3.0
1530138300,3.0
1530138600,3.0
1530140670,4.0
1530140685,4.0
1530140700,4.0
1530140715,3.0
1530140730,3.0
1530140745,3.0
1530141300,4.0
1530142200,4.0
1530143100,4.0
1530143415,3.0
1530143430,4.0
1530143445,4.0
1530143475,4.0
1530143490,4.0
1530143700,4.0
1530145800,3.0
1530146100,3.0
1530146250,3.0
1530146265,3.0
1530146295,3.0
1530146310,3.0
1530146325,3.0
1530146700,3.0
1530149400,4.0
1530150015,3.0
1530150030,3.0
1530150075,1.0
1530150090,1.0
1530150300,4.0
1530150735,1.0
1530150750,1.0
1530150900,1.0
1530151215,3.0
1530151230,3.0
1530151245,3.0
1530151500,3.0
1530152100,3.0
1530152415,3.0
1530152430,3.0
1530152445,3.0
1530152700,3.0
1530153000,4.0
1530153150,1.0
1530153165,1.0
1530153300,1.0
1530153615,3.0
1530153630,3.0
1530153900,4.0
1530154815,3.0
1530154830,3.0
1530154845,3.0
1530155100,3.0
1530155700,4.0
1530156015,4.0
1530156030,4.0
1530156300,4.0
1530156600,5.0
1530157215,3.0
1530157230,3.0
1530157245,3.0
1530157500,4.0
1530158070,1.0
1530158085,1.0
1530158100,1.0
1530158415,3.0
1530158430,3.0
1530158700,3.0
1530159300,3.0
1530159615,3.0
1530159630,3.0
1530159645,3.0
1530159900,3.0
1530160200,5.0
1530160815,3.0
1530160830,4.0
1530160845,4.0
1530161100,5.0
1530161175,1.0
1530161190,1.0
1530161310,1.0
1530161325,1.0
1530161700,1.0
1530161775,1.0
1530161790,1.0
1530162015,3.0
1530162030,4.0
1530162045,4.0
1530162150,1.0
1530162165,1.0
1530162300,5.0
1530162900,5.0
1530163215,3.0
1530163230,3.0
1530163245,3.0
1530163500,3.0
1530163800,5.0
1530164415,3.0
1530164430,3.0
1530164445,3.0
1530164700,3.0
1530165615,3.0
1530165630,3.0
1530165645,3.0
1530165900,3.0
1530166455,1.0
1530166470,1.0
1530166500,4.0
1530166815,3.0
1530166830,3.0
1530166875,1.0
1530166890,1.0
1530166935,1.0
1530166950,1.0
1530167070,1.0
1530167085,1.0
1530167100,4.0
1530167115,1.0
1530167130,1.0
1530167190,1.0
1530167205,1.0
1530167310,1.0
1530167325,1.0
1530167400,4.0
1530168015,4.0
1530168030,4.0
1530168300,4.0
1530169215,3.0
1530169230,3.0
1530169335,1.0
1530169350,1.0
1530169500,4.0
1530169530,1.0
1530169545,1.0
1530170100,5.0
1530170175,1.0
1530170190,1.0
1530170310,1.0
1530170325,1.0
1530170415,4.0
1530170430,4.0
1530170445,3.0
1530170700,5.0
1530170955,1.0
1530170970,1.0
1530171000,5.0
1530171615,3.0
1530171630,3.0
1530171795,1.0
1530171810,1.0
1530171900,4.0
1530171975,1.0
1530171990,1.0
1530172290,1.0
1530172305,1.0
1530172500,1.0
1530172815,3.0
1530172830,3.0
1530173100,4.0
1530173235,1.0
1530173250,1.0
1530173415,1.0
1530173430,1.0
1530173700,4.0
1530173895,1.0
1530173910,1.0
1530174015,3.0
1530174030,3.0
1530174300,3.0
1530174600,5.0
1530174795,1.0
1530174810,1.0
1530174900,1.0
1530175215,4.0
1530175230,4.0
1530175500,5.0
1530176100,1.0
1530176370,1.0
1530176385,1.0
1530176415,3.0
1530176430,3.0
1530176445,3.0
1530176700,4.0
1530176790,1.0
1530176805,1.0
1530177015,1.0
1530177030,1.0
1530177135,1.0
1530177150,1.0
1530177195,3.0
1530177210,4.0
1530177225,4.0
1530177300,6.0
1530178200,6.0
1530178275,4.0
1530178290,4.0
1530178305,4.0
1530178335,4.0
1530178350,4.0
1530178500,4.0
1530179100,4.0
1530181800,4.0
1530182700,4.0
1530182970,4.0
1530182985,4.0
1530183015,4.0
1530183030,4.0
1530183045,4.0
1530183300,4.0
1530184500,5.0
1530184875,4.0
1530184890,5.0
1530184905,5.0
1530184935,4.0
1530184950,4.0
1530185100,5.0
1530185400,5.0
1530185700,4.0
1530185715,4.0
1530185730,4.0
1530185745,4.0
1530185775,4.0
1530185790,4.0
1530186255,4.0
1530186270,4.0
1530186285,4.0
1530186300,4.0
1530186315,3.0
1530186330,3.0
1530186795,3.0
1530186810,4.0
1530186825,4.0
1530186855,4.0
1530186870,4.0
1530186900,4.0
1530187095,3.0
1530187110,4.0
1530187125,4.0
1530187155,3.0
1530187170,3.0
1530187500,4.0
1530187650,3.0
1530187665,3.0
1530187695,4.0
1530187710,4.0
1530187725,3.0
1530188100,4.0
1530188550,3.0
1530188565,3.0
1530188595,4.0
1530188610,4.0
1530188625,3.0
1530188700,4.0
1530189000,4.0
1530189300,4.0
1530189555,4.0
1530189570,4.0
1530189585,4.0
1530189615,4.0
1530189630,4.0
1530189900,4.0
1530190500,4.0
1530190530,3.0
1530190545,3.0
1530190575,4.0
1530190590,4.0
1530190605,4.0
1530191100,4.0
1530191130,3.0
1530191145,3.0
1530191175,4.0
1530191190,4.0
1530191205,4.0
1530191535,4.0
1530191550,4.0
1530191565,4.0
1530191595,4.0
1530191610,4.0
1530191700,4.0
1530191955,4.0
1530191970,4.0
1530191985,4.0
1530192015,3.0
1530192030,3.0
1530192300,4.0
1530192330,3.0
1530192345,3.0
1530192375,4.0
1530192390,4.0
1530192405,4.0
1530192600,4.0
1530192630,4.0
1530192645,4.0
1530192675,4.0
1530192690,4.0
1530192705,3.0
1530192900,4.0
1530192990,3.0
1530193005,3.0
1530193035,4.0
1530193050,4.0
1530193065,3.0
1530193395,4.0
1530193410,4.0
1530193425,4.0
1530193455,3.0
1530193470,3.0
1530193500,4.0
1530193770,4.0
1530193785,4.0
1530193815,4.0
1530193830,4.0
1530193845,3.0
1530194100,4.0
1530194130,3.0
1530194145,3.0
1530194175,3.0
1530194190,3.0
1530194205,3.0
1530194595,3.0
1530194610,4.0
1530194625,4.0
1530194655,4.0
1530194670,4.0
1530194700,4.0
1530195090,3.0
1530195105,3.0
1530195135,4.0
1530195150,4.0
1530195165,4.0
1530195300,4.0
1530195630,3.0
1530195645,3.0
1530195675,4.0
1530195690,4.0
1530195705,4.0
1530195900,4.0
1530196155,3.0
1530196170,4.0
1530196185,4.0
1530196200,4.0
